Date,JKT,TKY
12/30/2019,48,2678
12/31/2019,48,2496
1/1/2020,48,2442
1/2/2020,48,2575
1/3/2020,48,2653
1/4/2020,48,2476
1/5/2020,48,2407
1/6/2020,48,2588
1/7/2020,47,2612
1/8/2020,48,2631
1/9/2020,46,2260
1/10/2020,71,2581
1/11/2020,71,2714
1/12/2020,62,2723
1/13/2020,48,2715
1/14/2020,48,2598
1/15/2020,48,2527
1/16/2020,70,2367
1/17/2020,69,2535
1/18/2020,71,2565
1/19/2020,67,2601
1/20/2020,68,2613
1/21/2020,68,2534
1/22/2020,67,2605
1/23/2020,68,2672
1/24/2020,71,2637
1/25/2020,70,2656
1/26/2020,67,2691
1/27/2020,67,2693
1/28/2020,67,2368
1/29/2020,67,2083
1/30/2020,63,2397
1/31/2020,71,1835
2/1/2020,71,2217
2/2/2020,71,2449
2/3/2020,71,2638
2/4/2020,61,2540
2/5/2020,48,2456
2/6/2020,48,2318
2/7/2020,71,2603
2/8/2020,71,2596
2/9/2020,68,2398
2/10/2020,67,2509
2/11/2020,71,2355
2/12/2020,70,2545
2/13/2020,68,2528
2/14/2020,69,2571
2/15/2020,71,2608
2/16/2020,67,2600
2/17/2020,69,2454
2/18/2020,70,2202
2/19/2020,70,2438
2/20/2020,65,2555
2/21/2020,62,2560
2/22/2020,68,2581
2/23/2020,68,2534
2/24/2020,70,2558
2/25/2020,69,2583
2/26/2020,71,2574
2/27/2020,71,2348
2/28/2020,71,2306
2/29/2020,62,2280
3/1/2020,70,2195
3/2/2020,66,2228
3/3/2020,19,637
3/4/2020,69,2455
3/5/2020,71,2251
3/6/2020,71,2457
3/7/2020,57,2204
3/8/2020,48,2055
3/9/2020,59,2328
3/10/2020,48,2543
3/11/2020,48,2082
3/12/2020,67,2398
3/13/2020,66,2560
3/14/2020,66,2212
3/15/2020,66,2156
3/16/2020,65,2349
3/17/2020,67,2483
3/18/2020,70,2520
3/19/2020,69,2557
3/20/2020,71,2439
3/21/2020,67,2564
3/22/2020,67,2554
3/23/2020,70,2538
3/24/2020,67,2478
3/25/2020,65,2483
3/26/2020,65,2548
3/27/2020,67,2521
3/28/2020,66,2507
3/29/2020,65,1790
3/30/2020,67,2263
3/31/2020,66,2575
4/1/2020,66,2495
4/2/2020,70,2030
4/3/2020,67,2546
4/4/2020,70,2586
4/5/2020,67,2510
4/6/2020,67,2412
4/7/2020,66,2454
4/8/2020,64,2417
4/9/2020,68,2499
4/10/2020,70,2469
4/11/2020,70,2520
4/12/2020,48,2567
4/13/2020,36,2049
4/14/2020,66,2279
4/15/2020,68,2495
4/16/2020,63,2512
4/17/2020,51,2540
4/18/2020,48,2479
4/19/2020,48,2185
4/20/2020,49,2482
4/21/2020,48,2521
4/22/2020,49,2394
4/23/2020,60,2363
4/24/2020,48,2291
4/25/2020,48,2533
4/26/2020,55,2593
4/27/2020,48,2565
4/28/2020,48,2569
4/29/2020,48,2577
4/30/2020,48,2567
5/1/2020,48,2581
5/2/2020,48,2620
5/3/2020,48,2554
5/4/2020,48,2586
5/5/2020,48,2526
5/6/2020,48,2394
5/7/2020,48,2244
5/8/2020,48,2546
5/9/2020,48,2105
5/10/2020,48,2462
5/11/2020,48,2496
5/12/2020,47,2492
5/13/2020,48,2475
5/14/2020,48,2512
5/15/2020,48,2561
5/16/2020,48,2529
5/17/2020,48,2553
5/18/2020,48,2543
5/19/2020,48,2158
5/20/2020,48,1646
5/21/2020,48,2215
5/22/2020,46,2447
5/23/2020,48,2493
5/24/2020,47,2446
5/25/2020,48,2456
5/26/2020,48,2439
5/27/2020,47,2357
5/28/2020,44,2446
5/29/2020,43,2485
5/30/2020,48,2530
5/31/2020,48,2484
6/1/2020,66,2484
6/2/2020,48,2499
6/3/2020,48,2503
6/4/2020,48,2544
6/5/2020,48,2562
6/6/2020,48,2583
6/7/2020,48,2538
6/8/2020,48,2486
6/9/2020,48,2482
6/10/2020,48,2335
6/11/2020,48,2365
6/12/2020,48,2463
6/13/2020,48,2504
6/14/2020,48,2576
6/15/2020,48,2535
6/16/2020,48,2507
6/17/2020,48,2439
6/18/2020,48,2497
6/19/2020,48,2475
6/20/2020,48,2490
6/21/2020,48,2528
6/22/2020,48,2448
6/23/2020,48,2288
6/24/2020,48,2323
6/25/2020,48,2353
6/26/2020,47,2455
6/27/2020,48,2583
6/28/2020,48,2512
6/29/2020,29,2460
6/30/2020,24,2441
7/1/2020,28,2385
7/2/2020,48,2395
7/3/2020,48,2443
7/4/2020,48,2457
7/5/2020,48,2554
7/6/2020,39,2343
7/7/2020,48,2460
7/8/2020,48,2345
7/9/2020,47,2304
7/10/2020,48,2450
7/11/2020,48,2540
7/12/2020,48,2460
7/13/2020,48,2452
7/14/2020,48,2437
7/15/2020,48,2419
7/16/2020,48,2350
7/17/2020,48,2513
7/18/2020,48,2457
7/19/2020,48,2537
7/20/2020,48,2510
7/21/2020,48,2510
7/22/2020,47,2526
7/23/2020,48,2510
7/24/2020,47,2569
7/25/2020,8,2540
7/26/2020,24,2343
7/27/2020,24,2446
7/28/2020,36,2533
7/29/2020,48,2357
7/30/2020,48,2463
7/31/2020,48,2535
8/1/2020,48,2448
8/2/2020,48,2488
8/3/2020,48,2513
8/4/2020,48,2496
8/5/2020,48,2503
8/6/2020,48,2542
8/7/2020,51,2564
8/8/2020,48,2573
8/9/2020,48,2576
8/10/2020,55,2543
8/11/2020,64,2464
8/12/2020,68,2441
8/13/2020,64,2433
8/14/2020,69,2496
8/15/2020,67,2582
8/16/2020,65,2565
8/17/2020,64,2548
8/18/2020,69,2465
8/19/2020,71,2391
8/20/2020,66,2470
8/21/2020,65,2529
8/22/2020,69,2574
8/23/2020,71,2573
8/24/2020,71,2513
8/25/2020,65,2490
8/26/2020,67,2449
8/27/2020,69,2314
8/28/2020,67,2498
8/29/2020,70,2594
8/30/2020,66,2476
8/31/2020,71,2566
9/1/2020,67,2489
9/2/2020,71,2454
9/3/2020,64,2386
9/4/2020,54,2487
9/5/2020,68,2604
9/6/2020,68,2463
9/7/2020,58,1538
9/8/2020,36,2663
9/9/2020,32,2642
9/10/2020,47,2696
9/11/2020,42,2731
9/12/2020,52,2737
9/13/2020,45,2716
9/14/2020,47,2639
9/15/2020,48,2635
9/16/2020,48,2673
9/17/2020,48,2594
9/18/2020,48,2582
9/19/2020,48,2344
9/20/2020,48,2472
9/21/2020,46,2575
9/22/2020,48,2470
9/23/2020,34,2546
10/26/2020,7,2470
10/27/2020,27,2300
10/28/2020,26,2600
10/29/2020,32,2482
10/30/2020,24,2353
10/31/2020,40,2438
11/1/2020,48,2592
11/2/2020,48,2561
11/3/2020,47,2627
11/4/2020,48,2630
11/5/2020,48,2476
11/6/2020,48,2675
11/7/2020,48,2537
11/8/2020,48,2571
11/9/2020,48,2593
11/10/2020,48,2593
11/11/2020,55,2544
11/12/2020,48,2601
11/13/2020,48,2443
11/14/2020,48,2457
11/15/2020,48,2638
11/16/2020,47,2266
11/17/2020,48,2367
11/18/2020,48,2638
11/19/2020,48,2574
11/20/2020,53,2501
11/21/2020,56,2277
11/22/2020,71,2518
11/23/2020,69,2611
11/24/2020,62,2593
11/25/2020,48,2634
11/26/2020,53,2366
11/27/2020,62,2585
11/28/2020,65,2529
11/29/2020,62,2592
11/30/2020,58,2519
12/1/2020,64,2539
12/2/2020,60,2584
12/3/2020,65,2591
12/4/2020,70,2656
12/5/2020,71,2569
12/6/2020,64,2254
12/7/2020,52,2451
12/8/2020,69,2632
12/9/2020,69,2642
12/10/2020,71,2476
12/11/2020,68,2553
12/12/2020,70,2620
12/13/2020,65,2593
12/14/2020,64,2577
12/15/2020,66,2561
12/16/2020,59,2637
12/17/2020,62,2560
12/18/2020,59,2570
12/19/2020,54,2581
12/20/2020,65,2572
12/21/2020,59,2436
12/22/2020,48,2470
12/23/2020,48,2518
12/24/2020,48,2533
12/25/2020,48,2425
12/26/2020,48,2584
12/27/2020,48,2332
12/28/2020,48,2569
12/29/2020,48,2596
12/30/2020,58,2280
12/31/2020,65,2640
1/1/2021,67,2301
1/2/2021,68,2546
1/3/2021,64,2428
